"lang"
{
	"Language"		"English"
        "DOTA_Tooltip_modifier_ursa_rend_armor"       "Rended"
        "DOTA_Tooltip_modifier_ursa_rend_armor_Description"       "Armor reduced."
        "DOTA_Tooltip_Ability_ursa_fury"      "Fury "
        "DOTA_Tooltip_Ability_ursa_fury_Description"      "Apply unslowable status, phase, bonus move speed and attack speed to himself."
        "DOTA_Tooltip_Ability_ursa_fury_duration"           "DURATION: "
        "DOTA_Tooltip_Ability_ursa_fury_attackspeed_bonus"  "%ATTACK SPEED BONUS: "
        "DOTA_Tooltip_Ability_ursa_fury_movespeed_bonus"    "%MOVE SPEED BONUS: "
        "DOTA_Tooltip_Ability_ursa_fury_lore"     "Enraged bears are unstoppable."
        "DOTA_Tooltip_modifier_ursa_fury"     "Fury"
        "DOTA_Tooltip_modifier_ursa_fury_Description"     "Speed boosted, phased and unslowable."
        "DOTA_Tooltip_Ability_ursa_roar"      "Roar"
        "DOTA_Tooltip_Ability_ursa_roar_Description"      "Stun all enemies around himself.<br>Cast time: 2 seconds"
        "DOTA_Tooltip_Ability_ursa_roar_radius"       "RADIUS: "
        "DOTA_Tooltip_Ability_ursa_roar_stun"     "STUN DURATION: "
        "DOTA_Tooltip_Ability_ursa_roar_lore"     "Even the mightiest warriors go unconscious hearing Nightsilver bear’s ferocious roar."
        "DOTA_Tooltip_Ability_ursa_swift"     "Swift"
        "DOTA_Tooltip_Ability_ursa_swift_description"     "Auto attacks have a chance to blink to the farthest unit from himself, auto attack that unit and reset aggro."
        "DOTA_Tooltip_Ability_ursa_swift_range"       "RANGE: "
        "DOTA_Tooltip_Ability_ursa_swift_chance"      "%PROC CHANCE: "
        "DOTA_Tooltip_Ability_ursa_swift_lore"      "In a blink of an eye, the ranger’s head falls off."
        "DOTA_Tooltip_Ability_ursa_slam"      "Slam"
        "DOTA_Tooltip_Ability_ursa_slam_Description"    "Deal earth damage around himself, slow move speed, attack speed and reduce spell haste of all affected enemies. <br>Cast time: 2 seconds"
        "DOTA_Tooltip_Ability_ursa_slam_radius"       "RADIUS: "
        "DOTA_Tooltip_Ability_ursa_slam_damage"       "DAMAGE: "
        "DOTA_Tooltip_Ability_ursa_slam_as_slow"      "%SLOW : "
        "DOTA_Tooltip_Ability_ursa_slam_duration"       "SLOW DURATION: "
        "DOTA_Tooltip_Ability_ursa_slam_lore"           "The shockwave from their ground-slamming technique can make you crawl."
        "DOTA_Tooltip_modifier_ursa_slam_slow"    "Slowed"
        "DOTA_Tooltip_modifier_ursa_slam_slow_Description"    "Attack speed, spell haste and move speed reduced."
        "DOTA_Tooltip_Ability_ursa_hunt"      "Hunting Prey"
        "DOTA_Tooltip_Ability_ursa_hunt_Description"      "Apply taunt to a random enemy, increase attack damage and damage taken by himself. In addition during this effect also heal himself after killing someone and turn Swift effect into Fury."
        "DOTA_Tooltip_Ability_ursa_hunt_damage_increase_outgoing_pct"     "%BONUS ATTACK DAMAGE: "
        "DOTA_Tooltip_Ability_ursa_hunt_damage_increase_incoming_pct"     "%ADDITIONAL DAMAGE TAKEN: "
        "DOTA_Tooltip_Ability_ursa_hunt_health_heal_pct"      "%MAXIMUM HEALTH TO HEALING: "
        "DOTA_Tooltip_Ability_ursa_hunt_duration"     "DURATION: "
        "DOTA_Tooltip_Ability_ursa_hunt_lore"  "Victims are eaten whole and the bear reinvigorated."
        "DOTA_Tooltip_modifier_ursa_hunt_buff_stats"      "On the hunt"
        "DOTA_Tooltip_modifier_ursa_hunt_buff_stats_Description"      "Increased attack damage, but take additional damage."
        "DOTA_Tooltip_modifier_ursa_hunt_random_taunt"    "Hunted"
        "DOTA_Tooltip_modifier_ursa_hunt_random_taunt_Description"    "The beast is eyeing on you!"

        //lycan
        "DOTA_Tooltip_Ability_lycan_call"     "Leader's Call"
        "DOTA_Tooltip_Ability_lycan_call_Description"     "Summon wolves to aid itself. Wolves are summoned next to enemies. Wolves have 2 passives: double strike and bleeding hit."
        "DOTA_Tooltip_Ability_lycan_call_number"     "NUMBER OF WOLVES PER ENEMY: "
        "DOTA_Tooltip_Ability_lycan_call_range"       "RANGE: "
        "DOTA_Tooltip_Ability_lycan_call_duration"    "DURATION: "
        "DOTA_Tooltip_Ability_lycan_call_lore"        "The pack hunt together."
        "DOTA_Tooltip_Ability_lycan_companion"    "Wolves Companion"
        "DOTA_Tooltip_Ability_lycan_companion_Description"    "Auto attacks have a chance to summon a wolf next to the current target."
        "DOTA_Tooltip_Ability_lycan_companion_chance"     "%CHANCE: "
        "DOTA_Tooltip_Ability_lycan_companion_duration"    "DURATION: "
        "DOTA_Tooltip_Ability_lycan_companion_lore"        "Wolves are never alone."
        "DOTA_Tooltip_Ability_lycan_wound"    "Wounding Strike"
        "DOTA_Tooltip_Ability_lycan_wound_Description"    "Deals percentage of the highest aggro target max health. Apply undispellable wound debuff which deals low max health dot and negates all healing received."
        "DOTA_Tooltip_Ability_lycan_wound_range"        "RANGE: "
        "DOTA_Tooltip_Ability_lycan_wound_initial_damage"       "%WOUND MAX HEALTH INITIAL PURE DAMAGE: "
        "DOTA_Tooltip_Ability_lycan_wound_dot"     "%WOUND MAX HEALTH AS PURE DOT: "
        "DOTA_Tooltip_Ability_lycan_wound_duration"     "WOUND DOT AND HEALING NEGATION DURATION: "
        "DOTA_Tooltip_Ability_lycan_wound_lore"         "These gravely wounded victims cannot be saved."
        "DOTA_Tooltip_modifier_lycan_wound_debuff"     "Wounded"
        "DOTA_Tooltip_modifier_lycan_wound_debuff_Description"    "Take damage over time and cannot be healed"
        "DOTA_Tooltip_Ability_lycan_wolf_form"    "Wolf form"
        "DOTA_Tooltip_Ability_lycan_wolf_form_Description"    "Permanently transform into a wolf with bonus combat capabilities when health drops below a certain threshold. Grants phased, move speed bonus, reduced BAT and critical strike"
        "DOTA_Tooltip_Ability_lycan_wolf_form_hp_threshold"      "%HEALTH THRESHOLD: "
        "DOTA_Tooltip_Ability_lycan_wolf_form_bat"             "BASE ATTACK TIME: "
        "DOTA_Tooltip_Ability_lycan_wolf_form_ms_absolute"        "CONSTANT MOVE SPEED: "
        "DOTA_Tooltip_Ability_lycan_wolf_form_crit_chance"     "%CRITICAL CHANCE: "
        "DOTA_Tooltip_Ability_lycan_wolf_form_crit_factor"     "CRITICAL FACTOR: "
        "DOTA_Tooltip_Ability_lycan_wolf_form_lore"        "It takes some effort to be a Nightsilver wolves pack leader."
        "DOTA_Tooltip_Ability_lycan_howl_aura"    "Howl Aura"
        "DOTA_Tooltip_Ability_lycan_howl_aura_Description"    "Reduce all damage done from enemies nearby. While Lycan grants damage reduction aura and speed aura."
        "DOTA_Tooltip_Ability_lycan_howl_aura_range"     "RANGE: "
        "DOTA_Tooltip_Ability_lycan_howl_aura_damage_reduce_outgoing_pct"        "%ENEMY OUTGOING DAMAGE REDUCTION: "
        "DOTA_Tooltip_Ability_lycan_howl_aura_damage_reduce_incoming_pct_aura"      "%INCOMING DAMAGE REDUCTION AURA: "
        "DOTA_Tooltip_Ability_lycan_howl_aura_as_aura"    "%ATTACK SPEED AURA: "
        "DOTA_Tooltip_Ability_lycan_howl_aura_ms_aura"    "%MOVE SPEED AURA: "
        "DOTA_Tooltip_Ability_lycan_howl_aura_duration"      "DURATION: "
        "DOTA_Tooltip_Ability_lycan_howl_aura_lore"      "Strengthen the packs, demoralize the enemies, their infamous bone-chilling howls can be heard from miles away."
        "DOTA_Tooltip_modifier_lycan_howl_debuff"       "Howl Terrified"
        "DOTA_Tooltip_modifier_lycan_howl_debuff_Description"       "All damage reduced."
        "DOTA_Tooltip_modifier_lycan_howl_aura_buff"     "Howl Aura"
        "DOTA_Tooltip_modifier_lycan_howl_aura_buff_Description"     "Gain bonus speed and damage taken reduction."
        "DOTA_Tooltip_Ability_lycan_agility"      "Agility"
        "DOTA_Tooltip_Ability_lycan_agility_Description"      "Teleport to and perform an attack on the highest aggro target then repeat on the next target within a certain range from the current target. Lycan will never teleport to the same target twice. Lycan is invulnerable and has his critical strike chance tripled during agility. Reset aggro when agility ends."
        "DOTA_Tooltip_Ability_lycan_agility_range"      "INITIAL RANGE: "
        "DOTA_Tooltip_Ability_lycan_agility_jump_range"     "JUMP RANGE: "
        "DOTA_Tooltip_Ability_lycan_double_strike"          "MultiStrike"
        "DOTA_Tooltip_Ability_lycan_double_strike_Description"      "Auto attacks have chance to gain insane attack speed burst for a limited number of hits."
        "DOTA_Tooltip_Ability_lycan_double_strike_chance"      "%CHANCE: "
        "DOTA_Tooltip_Ability_lycan_double_strike_max_hits"     "HITS:"
        "DOTA_Tooltip_Ability_lycan_double_strike_lore"     "Agile and cunning natures allow wolves to strike at every opportunity."
        "DOTA_Tooltip_modifier_lycan_double_strike_quick"         "Quick hit"
        "DOTA_Tooltip_modifier_lycan_double_strike_quick_Description"     "Insane attack speed on 1 attack"
        "DOTA_Tooltip_Ability_lycan_bleeding"           "Bleeding hit"
        "DOTA_Tooltip_Ability_lycan_bleeding_Description"       "Auto attacks applies a stacking low max health dot and undispellable healing received reduction debuff."
        "DOTA_Tooltip_Ability_lycan_bleeding_dot"      "%BLEEDING MAX HEALTH AS PURE DOT: "
        "DOTA_Tooltip_Ability_lycan_bleeding_heal_reduced"         "%BLEEDING HEALING RECEIVED REDUCTION: "
        "DOTA_Tooltip_Ability_lycan_bleeding_duration"          "BLEEDING DURATION: "
        "DOTA_Tooltip_Ability_lycan_bleeding_max_stacks"        "MAX BLEEDING STRIKE STACKS: "
        "DOTA_Tooltip_Ability_lycan_bleeding_lore"      " Aiming at the vessels and vital organs, wolves finds no problem dealing with the bigger threats."
       "DOTA_Tooltip_modifier_lycan_bleeding_dot"     "Bleeding Damage"
       "DOTA_Tooltip_modifier_lycan_bleeding_dot_Description"     "Take percentage of max health as pure damage"
       "DOTA_Tooltip_modifier_lycan_bleeding_heal_reduced"     "Bleeding Healing Reduced"
       "DOTA_Tooltip_modifier_lycan_bleeding_heal_reduced_Description"     "Receive less healing"

        //brood
        "DOTA_Tooltip_Ability_brood_toxin"      "Spider Toxin"
        "DOTA_Tooltip_Ability_brood_toxin_Description"      "Auto attack apply a stacking slow reducing target move speed, attack speed and spell haste. When maximum stacks are reached, the next applying spider toxin stack will stun instead. Target stunned by this spell is instantly killed by Broodmother auto attack."
        "DOTA_Tooltip_Ability_brood_toxin_base_slow"     "%BASE SLOW: "
        "DOTA_Tooltip_Ability_brood_toxin_stack_slow"     "%SLOW PER STACK: "
        "DOTA_Tooltip_Ability_brood_toxin_duration"     "SLOW DURATION: "
        "DOTA_Tooltip_Ability_brood_toxin_max_stacks"  "MAXIMUM STACKS: "
        "DOTA_Tooltip_Ability_brood_toxin_stun"     "STUN DURATION: "
        //"DOTA_Tooltip_Ability_brood_toxin_immunity"     "IMMUNITY DURATION: "
        "DOTA_Tooltip_Ability_brood_toxin_lore"         "Victims reported slowly going numb, unconscious and eventually die."
        "DOTA_Tooltip_modifier_brood_toxin_slow"        "Slow"
        "DOTA_Tooltip_modifier_brood_toxin_slow_description"        "Attack speed, spell haste and move speed reduced."
        "DOTA_Tooltip_modifier_brood_toxin_stunned"     "STUNNED"
        //"DOTA_Tooltip_modifier_brood_toxin_immunity"    "Spider Toxin Immunity"
        //"DOTA_Tooltip_modifier_brood_toxin_immunity_description"        "Immune to spider toxin slow and stun."
        "DOTA_Tooltip_Ability_brood_comes"       "Mother Comes!"
        "DOTA_Tooltip_Ability_brood_comes_Description"       "Apply taunt to random enemy. Spawn spiderlings in a circle around that enemy. Broodmother and spiderlings nearby will get phased buff and charge towards that target. Spidering has spider toxin. Passively, Broodmother can detect the enemy stunned by spider toxin nearby. If she found one, she will gain 3 seconds charge and focus that enemy. "
        "DOTA_Tooltip_Ability_brood_comes_range"         "RANGE: "
        "DOTA_Tooltip_Ability_brood_comes_number"       "NUMBER OF SPIDERLINGS: "
        "DOTA_Tooltip_Ability_brood_comes_duration"     "TAUNT DURATION: "
        "DOTA_Tooltip_Ability_brood_comes_duration"     "CHARGE DURATION: "
        "DOTA_Tooltip_Ability_brood_comes_lore"      "You're not afraid of spiders, are you?"
        "DOTA_Tooltip_modifier_brood_comes_random_taunt"    "Taunt"
        "DOTA_Tooltip_modifier_brood_comes_random_taunt_Description"    "Draw enemies' attention."
        "DOTA_Tooltip_modifier_brood_comes_charge"      "Charge"
        "DOTA_Tooltip_modifier_brood_comes_charge_Description"      "Increase move speed and phased"
        "DOTA_Tooltip_Ability_brood_cocoons"        "Cocoons"
        "DOTA_Tooltip_Ability_brood_cocoons_Description"    "Banish random enemies. The banished units are removed from the game. Spiderlings gradually spawn next to banished targets."
        "DOTA_Tooltip_Ability_brood_cocoons_range"       "RANGE: "
        "DOTA_Tooltip_Ability_brood_cocoons_targets"        "NUMBER OF TARGETS: "
        "DOTA_Tooltip_Ability_brood_cocoons_duration"       "DURATION: "
        "DOTA_Tooltip_Ability_brood_cocoons_interval"       "SPAWN INTERVAL: "
        "DOTA_Tooltip_Ability_brood_cocoons_lore"       "Wrapped in silken cocoons, specially selected victims are tasted later."
        "DOTA_Tooltip_modifier_brood_cocoons"           "Cocooned"
        "DOTA_Tooltip_modifier_brood_cocoons_Description"   "Remove from game."
        "DOTA_Tooltip_Ability_brood_kiss"           "Kiss of Death"
        "DOTA_Tooltip_Ability_brood_kiss_Description"           "Teleport to a random target, auto attack, stun and apply Spider kiss debuff to the target. Spider kissed target will die after the timer runs out. Additionally, reset aggro after teleporting. "
        "DOTA_Tooltip_Ability_brood_kiss_timer"     "COUNTDOWN TIMER: "
        "DOTA_Tooltip_Ability_brood_kiss_stun"     "STUN DURATION: "
        "DOTA_Tooltip_Ability_brood_kiss_range"     "RANGE: "
        "DOTA_Tooltip_Ability_brood_kiss_lore"      "When combined with the simplest form of spacetime magic, spider toxin proves to be exponentially fatal."
        "DOTA_Tooltip_modifier_brood_kiss"     "Spider kiss"
        "DOTA_Tooltip_modifier_brood_kiss_Description"     "Dying soon!"
        "DOTA_Tooltip_Ability_brood_spit"       "Spitting Poison"
        "DOTA_Tooltip_Ability_brood_spit_Description"       "Launch ground targeting poison projectiles to every enemy nearby. The projectile impact deals impact nature damage then leaves poison puddle applying slow and dealing nature damage to anyone stepping on it. Damage instance from this spell applies spider toxin."
        "DOTA_Tooltip_Ability_brood_spit_range"         "RANGE: "
        "DOTA_Tooltip_Ability_brood_spit_projectile_count"    "NUMBER OF PROJECTILES: "
        "DOTA_Tooltip_Ability_brood_spit_damage_per_impact"        "IMPACT DAMAGE: "
        "DOTA_Tooltip_Ability_brood_spit_burn_damage"         "POISON DAMAGE PER SECOND: "
        "DOTA_Tooltip_Ability_brood_spit_burn_linger_duration"   "POISON DURATION: "
        "DOTA_Tooltip_Ability_brood_spit_burn_ground_duration"  "POISON PUDDLE DURATION: "
        "DOTA_Tooltip_Ability_brood_spit_slow"                  "%SLOW: "
        "DOTA_Tooltip_Ability_brood_spit_lore"      "“Careful! She can shoot flying toxin blobs” Unnamed Arachnologist"
        "DOTA_Tooltip_modifier_brood_spit_burn_slow"    "Poisoned"
        "DOTA_Tooltip_modifier_brood_spit_burn_slow_Description"    "Take damage over time and have reduced attack speed, cast speed and move speed."
        "DOTA_Tooltip_Ability_brood_hunger"         "Arachnoid hunger"
        "DOTA_Tooltip_Ability_brood_hunger_Description"         "Apply lifesteal to herself for a duration."
        "DOTA_Tooltip_Ability_brood_hunger_lifesteal"       "%LIFESTEAL: "
        "DOTA_Tooltip_Ability_brood_hunger_duration"     "DURATION: "
        "DOTA_Tooltip_Ability_brood_hunger_lore"           "While most victims are saved for younglings, some are lucky to be tasted by the mother herself."
        "DOTA_Tooltip_modifier_brood_hunger"      "Lifesteal"
        "DOTA_Tooltip_modifier_brood_hunger_Description"      "Regain health on auto attack."
        "DOTA_Tooltip_Ability_brood_web"            "Spin Web"
        "DOTA_Tooltip_Ability_brood_web_Description"            "Spins an invulnerable large web on top of enemies. Being in Web increases Broodmother and spiderling speed, while enemies move speed are slowed. Spiderling spawns next to all enemies in web every fixed interval."
        "DOTA_Tooltip_Ability_brood_web_range"         "RANGE: "
        "DOTA_Tooltip_Ability_brood_web_radius"         "RADIUS: "
        "DOTA_Tooltip_Ability_brood_web_ms_bonus"       "SPIDER ATTACK SPEED BONUS: "
        "DOTA_Tooltip_Ability_brood_web_as_bonus"       "SPIDER MOVE SPEED BONUS: "
        "DOTA_Tooltip_Ability_brood_web_ms_slow"        "ENEMY MOVE SPEED SLOW: "
        "DOTA_Tooltip_Ability_brood_web_spawn_interval"     "SPAWN INTERVAL: "
        "DOTA_Tooltip_Ability_brood_web_number"             "NUMBER OF WEBS: "
        "DOTA_Tooltip_Ability_brood_web_duration"           "DURATION: "
        "DOTA_Tooltip_Ability_brood_web_lore"           "In her webs, you can’t run and you can’t hide."
        "DOTA_Tooltip_modifier_brood_web"               "Web speed"
        "DOTA_Tooltip_modifier_brood_web_Description"         "Gain bonus speed in web."
        "DOTA_Tooltip_modifier_brood_web_enemy"              "Webbed"
        "DOTA_Tooltip_modifier_brood_web_enemy_Description"       "Move speed reduced in web."

        //treant
        "DOTA_Tooltip_Ability_treant_hook"          "Vine Hook"
        "DOTA_Tooltip_Ability_treant_hook_Description"          "Grow a vine to the farthest unit, deal nature damage, and pull it to treant protector. Stun and taunt it."
        "DOTA_Tooltip_Ability_treant_hook_range"        "RANGE: "
        "DOTA_Tooltip_Ability_treant_hook_speed"        "VINE GROWING SPEED: "
        "DOTA_Tooltip_Ability_treant_hook_damage"       "DAMAGE: "
        "DOTA_Tooltip_Ability_treant_hook_stun"         "STUN DURATION: "
        "DOTA_Tooltip_Ability_treant_hook_taunt"        "TAUNT DURATION: "
        "DOTA_Tooltip_modifier_treant_hook_taunt"       "TAUNT"
        "DOTA_Tooltip_modifier_treant_hook_taunt_Description"       "Draw enemies' attention"
        "DOTA_Tooltip_Ability_treant_seed"          "Sap seed"
        "DOTA_Tooltip_Ability_treant_seed_Description"          "Apply sap seed to enemies. Seeds deal small nature damage and drain mana every fixed interval."
        "DOTA_Tooltip_Ability_treant_seed_range"        "RANGE: "
        "DOTA_Tooltip_Ability_treant_seed_target"       "NUMBER OF TARGETS: "
        "DOTA_Tooltip_Ability_treant_seed_damage"       "DAMAGE: "
        "DOTA_Tooltip_Ability_treant_seed_mana_drain"        "%MAX MANA DRAIN: "
        "DOTA_Tooltip_Ability_treant_seed_interval"         "INTERVAL: "
        "DOTA_Tooltip_Ability_treant_seed_duration"         "DURATION: "
        "DOTA_Tooltip_modifier_treant_seed"         "Sapped"
        "DOTA_Tooltip_modifier_treant_seed_Description"         "Take damage over time and have its mana drained"
        "DOTA_Tooltip_Ability_treant_growth"            "Sudden Growth"
        "DOTA_Tooltip_Ability_treant_growth_Description"        "Reflects a portion of damage taken. Roots and deals small nature damage over time to a random enemy randomly when getting damaged. Cannot root a unit already rooted. Each reflected damage instance cannot deal more than 10% of target max health."
        "DOTA_Tooltip_Ability_treant_growth_range"             "RANGE: "
        "DOTA_Tooltip_Ability_treant_growth_dmg_reflection"        "%DAMAGE REFLECTION: "
        "DOTA_Tooltip_Ability_treant_growth_duration"               "ROOT DURATION: "
        "DOTA_Tooltip_Ability_treant_growth_dot"                "ROOT DOT: "
        "DOTA_Tooltip_Ability_treant_growth_chance"             "%ROOT CHANCE: "
        "DOTA_Tooltip_modifier_treant_growth"           "Entangled"
        "DOTA_Tooltip_modifier_treant_growth_Description"       "Take damage over time and root "
        "DOTA_Tooltip_Ability_treant_bash"              "Tree Bash"
        "DOTA_Tooltip_Ability_treant_bash_Description"          "First hit in an interval the root target and reduce target aggro to 0."
        "DOTA_Tooltip_Ability_treant_bash_stun"         "STUN DURATION: "
        "DOTA_Tooltip_Ability_treant_ingrain"           "Ingrain"
        "DOTA_Tooltip_Ability_treant_ingrain_Description"           "Heal a portion of its max health. Passively, gain health regeneration when standing still.. <br>Cast time: 2 seconds"
        "DOTA_Tooltip_Ability_treant_ingrain_heal"              "%MAXIMUM HEALTH TO HEALING: "
        "DOTA_Tooltip_Ability_treant_ingrain_regen"             "%MAXIMUM HEALTH TO HEALTH REGENERATION"
        "DOTA_Tooltip_Ability_treant_fertilize"             "Fertilize"
        "DOTA_Tooltip_Ability_treant_fertilize_Description"         ""
        "DOTA_Tooltip_Ability_treant_fertilize_range"             "RANGE: "
        "DOTA_Tooltip_Ability_treant_fertilize_number"            "NUMBER OF TREANTS: "
        "DOTA_Tooltip_Ability_treant_fertilize_duration"          "DURATION: "
        "DOTA_Tooltip_Ability_treant_fertilize_spawn_interval"    "SPAWN INTERVAL: "
        //mirana
        //luna
        //venge
       //scrap
        "DOTA_Tooltip_Ability_lycan_curse"    "Blood Moon Curse"
        "DOTA_Tooltip_Ability_lycan_curse_Description"    "Curse a random enemy transform it into an ally cursed wolf. It applies curse bite on attacks and die if it cannot find a target. 5 curse bites convert target in to a new cursed wolf."
        "DOTA_Tooltip_Ability_lycan_curse_note0"        "If a cursed wolf finds no enemy to attacks within 2000 range, it will die. Killing Lycan dispels the curses."
        "DOTA_Tooltip_Ability_lycan_curse_range"        "RANGE: "
        "DOTA_Tooltip_Ability_lycan_curse_attack_range"     "CURSED WOLF ATTACK RANGE: "
        "DOTA_Tooltip_Ability_lycan_curse_base_ms"       "CURSE WOLF BASE MOVE SPEED: "
        "DOTA_Tooltip_Ability_lycan_curse_duration"      "CURSED WOLF DURATION: "
        "DOTA_Tooltip_modifier_lycan_curse_bite"        "Curse bite"
        "DOTA_Tooltip_modifier_lycan_curse_bite_Description"  "Turning into a cursed wolf when 5 stacks reached"
    }
}
